objecttype|sanfinancialdatapk|sanbalancedatapk|dealpk|facilitypk|utilizationpk|dealidservicing|dealidservicingname|facilityidservicing|facilityidservicingname|utilizationidservicing|utilizationidservicingname|contractpk|contractfulfillmentid|contractlinepk|contractlinefulfillmentid|accountingid|portfolio|sourcesystemaccountingid|referencecurrencybalance|referencecurrencybase|santotalamount|sanliveamount|sanavailableamount|sanusedamount|sanamortizedamount|sanreleasedamount|sanirregularamount|fxrate|santotalinterest|sanpaidinterest|sanaccruedinterest|sanpendinginterest|sanirregularinterest|sanadvpayaccinterest|santotalinterestcurrentperiod|sanaccruedinterestcurrentperiod|sanpendinginterestcurrentperiod|santotalfinancialfees|sanpaidfinancialfees|sanaccruedfinancialfees|sanpendingfinancialfees|sanirregularfinancialfees|sanadvpayaccfinancialfees|santotalfinancialfeescurrentperiod|sanaccruedfinancialfeescurrentperiod|sanpendingfinancialfeescurrentperiod|santotalnonfinancialfees|sanpaidnonfinancialfees|sanpendingnonfinancialfees|sanirregularnonfinancialfees|sanmarketvaluepercent|sanmarketvalue|santotalfinancialfeestax|sanpaidfinancialfeestax|sanpendingfinancialfeestax|sanirregularfinancialfeestax|santotalnonfinancialfeestax|sanpaidnonfinancialfeestax|sanpendingnonfinancialfeestax|sanirregularnonfinancialfeestax|sannetmarketvalue|dealstatus|facilitystatus|utilizationstatus|cibproductcode|valuedate|assetflag|maturitydate|servicingproductid|servicingproductname|bookinglegalentity|bookingcountry|businessarea|latestdrawdowndate|recourse|committedflag|revolvingtype|dealversionid|facilityversionid|utilizationversionid|sanbalancedataversionid|sanfinancialdataversionid|deallastevent|facilitylastevent|utilizationlastevent|sanbalancedatalastevent|dealprocesstimestamp|facilityprocesstimestamp|utilizationprocesstimestamp|sanbalancedataprocesstimestamp|sanfinancialdataprocesstimestamp|sanfinancialdatalastevent|accproductid|accsubproductid|sanpaidinterestcurrentperiod|sanadvpayaccinterestcurrentperiod|sanpaidfinancialfeescurrentperiod|is_productive|sanadvpayaccfinancialfeescurrentperiod|sanadvpayaccnonfinancialfees|sanunsettledamount|capturedate|tradedate|servicingboteam|data_date_part|sourcesystemid|bookingoperationalentity|data_timestamp_part
Facility|451743|585709||148749||||PRE000301CLE22|ANGLO AMERICAN SUR S A|||0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|1000000000000.000000000000000000|0.000000000000000000|999875888500.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|28000.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE||PGCB020530|2025-04-08|1|2026-03-21|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC|2025-04-08|0|1|REVOLVING_CREDIT_FACILITY||14||14|3||ATTRIBUTE_CHANGE||ATTRIBUTE_CHANGE||2025-04-22 08:10:48.922||2025-04-22 08:10:48.922|2025-04-10 05:41:00.964|ATTRIBUTE_CHANGE|81|4073|0.000000000000000000|0.000000000000000000|0.000000000000000000|1|0.000000000000000000|0.000000000000000000|0.000000000000000000|2025-04-22|||2025-04-22|CONFIRMING|BSCH|20250422160523
Utilization|451739|585711||148749|416857|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000025810|CL-CK8-A-CLP-0000005978949|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.000000000000000000|0.000000000000000000|0.000000000000000000|1995500.000000000000000000|1995500.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|1133.000000000000000000|1133.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|1133.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE|DEAD|PGCB020530|2025-04-08|1|2025-04-10|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0|1|REVOLVING_CREDIT_FACILITY||14|2|2|2||ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE||2025-04-22 08:10:48.922|2025-04-10 12:10:53.776|2025-04-10 12:10:53.776|2025-04-10 12:10:53.776|ATTRIBUTE_CHANGE|81|4073|1133.000000000000000000|0.000000000000000000|0.000000000000000000|1|0.000000000000000000|0.000000000000000000|0.000000000000000000|2025-04-10|||2025-04-22|CONFIRMING|BSCH|20250422160523
Utilization|451740|585712||148749|416858|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000025813|CL-CK8-A-CLP-0000005978952|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.000000000000000000|0.000000000000000000|0.000000000000000000|3605500.000000000000000000|3605500.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|1647.000000000000000000|1647.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|1647.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE|DEAD|PGCB020530|2025-04-08|1|2025-04-10|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0|1|REVOLVING_CREDIT_FACILITY||14|2|2|2||ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE||2025-04-22 08:10:48.922|2025-04-10 12:10:54.576|2025-04-10 12:10:54.576|2025-04-10 12:10:54.576|ATTRIBUTE_CHANGE|81|4073|1647.000000000000000000|0.000000000000000000|0.000000000000000000|1|0.000000000000000000|0.000000000000000000|0.000000000000000000|2025-04-10|||2025-04-22|CONFIRMING|BSCH|20250422160523
Utilization|451741|585713||148749|416859|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000025812|CL-CK8-A-CLP-0000005978951|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.000000000000000000|0.000000000000000000|0.000000000000000000|577500.000000000000000000|577500.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|264.000000000000000000|264.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|264.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE|DEAD|PGCB020530|2025-04-08|1|2025-04-10|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0|1|REVOLVING_CREDIT_FACILITY||14|2|2|2||ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE||2025-04-22 08:10:48.922|2025-04-10 12:10:54.796|2025-04-10 12:10:54.796|2025-04-10 12:10:54.796|ATTRIBUTE_CHANGE|81|4073|264.000000000000000000|0.000000000000000000|0.000000000000000000|1|0.000000000000000000|0.000000000000000000|0.000000000000000000|2025-04-10|||2025-04-22|CONFIRMING|BSCH|20250422160523
Utilization|451742|585714||148749|416860|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000025811|CL-CK8-A-CLP-0000005978950|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.000000000000000000|0.000000000000000000|0.000000000000000000|611500.000000000000000000|611500.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|347.000000000000000000|347.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|347.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE|DEAD|PGCB020530|2025-04-08|1|2025-04-10|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0|1|REVOLVING_CREDIT_FACILITY||14|2|2|2||ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE||2025-04-22 08:10:48.922|2025-04-10 12:10:55.038|2025-04-10 12:10:55.038|2025-04-10 12:10:55.038|ATTRIBUTE_CHANGE|81|4073|347.000000000000000000|0.000000000000000000|0.000000000000000000|1|0.000000000000000000|0.000000000000000000|0.000000000000000000|2025-04-10|||2025-04-22|CONFIRMING|BSCH|20250422160523
Utilization|460932|597430||148749|423960|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000026151|CL-CK8-A-CLP-0000005979749|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.000000000000000000|0.000000000000000000|0.000000000000000000|611500.000000000000000000|611500.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|694.000000000000000000|694.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|694.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE|DEAD|PGCB020530|2025-04-11|1|2025-04-15|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0|1|REVOLVING_CREDIT_FACILITY||14|2|2|4||ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE||2025-04-22 08:10:48.922|2025-04-15 11:41:16.875|2025-04-15 11:41:16.875|2025-04-15 11:41:16.875|ATTRIBUTE_CHANGE|81|4073|694.000000000000000000|0.000000000000000000|0.000000000000000000|1|0.000000000000000000|0.000000000000000000|0.000000000000000000|2025-04-15|||2025-04-22|CONFIRMING|BSCH|20250422160523
Utilization|460933|597431||148749|423961|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O5-TA000000000026155|CL-CK6-A-CLP-0000005979781|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.000000000000000000|0.000000000000000000|0.000000000000000000|7105500.000000000000000000|7105500.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|10086.000000000000000000|10086.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|10086.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE|DEAD|PGCB020530|2025-04-11|1|2025-04-16|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0|1|REVOLVING_CREDIT_FACILITY||14|2|2|6||ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE||2025-04-22 08:10:48.922|2025-04-21 06:10:45.44|2025-04-21 06:10:45.44|2025-04-21 06:10:45.44|ATTRIBUTE_CHANGE|81|4073|10086.000000000000000000|0.000000000000000000|0.000000000000000000|1|0.000000000000000000|0.000000000000000000|0.000000000000000000|2025-04-21|||2025-04-22|CONFIRMING|BSCH|20250422160523
Utilization|460934|597432||148749|423962|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000026150|CL-CK8-A-CLP-0000005979748|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.000000000000000000|0.000000000000000000|0.000000000000000000|5795500.000000000000000000|5795500.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|6581.000000000000000000|6581.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|6581.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE|DEAD|PGCB020530|2025-04-11|1|2025-04-15|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0|1|REVOLVING_CREDIT_FACILITY||14|2|2|4||ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE||2025-04-22 08:10:48.922|2025-04-15 11:41:15.782|2025-04-15 11:41:15.782|2025-04-15 11:41:15.782|ATTRIBUTE_CHANGE|81|4073|6581.000000000000000000|0.000000000000000000|0.000000000000000000|1|0.000000000000000000|0.000000000000000000|0.000000000000000000|2025-04-15|||2025-04-22|CONFIRMING|BSCH|20250422160523
Utilization|460935|597433||148749|423963|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000026152|CL-CK8-A-CLP-0000005979750|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.000000000000000000|0.000000000000000000|0.000000000000000000|577500.000000000000000000|577500.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|527.000000000000000000|527.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|527.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE|DEAD|PGCB020530|2025-04-11|1|2025-04-15|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0|1|REVOLVING_CREDIT_FACILITY||14|2|2|4||ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE||2025-04-22 08:10:48.922|2025-04-15 11:41:16.592|2025-04-15 11:41:16.592|2025-04-15 11:41:16.592|ATTRIBUTE_CHANGE|81|4073|527.000000000000000000|0.000000000000000000|0.000000000000000000|1|0.000000000000000000|0.000000000000000000|0.000000000000000000|2025-04-15|||2025-04-22|CONFIRMING|BSCH|20250422160523
Utilization|460936|597434||148749|423964|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000026153|CL-CK8-A-CLP-0000005979751|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.000000000000000000|0.000000000000000000|0.000000000000000000|4305500.000000000000000000|4305500.000000000000000000|0.000000000000000000|0.000000000000000000|1.000000000000000000|3932.000000000000000000|3932.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|3932.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000|0.000000000000000000||LIVE|DEAD|PGCB020530|2025-04-11|1|2025-04-15|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0|1|REVOLVING_CREDIT_FACILITY||14|2|2|4||ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE||2025-04-22 08:10:48.922|2025-04-15 11:41:16.309|2025-04-15 11:41:16.309|2025-04-15 11:41:16.309|ATTRIBUTE_CHANGE|81|4073|3932.000000000000000000|0.000000000000000000|0.000000000000000000|1|0.000000000000000000|0.000000000000000000|0.000000000000000000|2025-04-15|||2025-04-22|CONFIRMING|BSCH|20250422160523
