objecttype|sanfinancialdatapk|sanbalancedatapk|dealpk|facilitypk|utilizationpk|dealidservicing|dealidservicingname|facilityidservicing|facilityidservicingname|utilizationidservicing|utilizationidservicingname|contractpk|contractfulfillmentid|contractlinepk|contractlinefulfillmentid|accountingid|portfolio|sourcesystemaccountingid|referencecurrencybalance|referencecurrencybase|santotalamount|sanliveamount|sanavailableamount|sanusedamount|sanamortizedamount|sanreleasedamount|sanirregularamount|fxrate|santotalinterest|sanpaidinterest|sanaccruedinterest|sanpendinginterest|sanirregularinterest|sanadvpayaccinterest|santotalinterestcurrentperiod|sanaccruedinterestcurrentperiod|sanpendinginterestcurrentperiod|santotalfinancialfees|sanpaidfinancialfees|sanaccruedfinancialfees|sanpendingfinancialfees|sanirregularfinancialfees|sanadvpayaccfinancialfees|santotalfinancialfeescurrentperiod|sanaccruedfinancialfeescurrentperiod|sanpendingfinancialfeescurrentperiod|santotalnonfinancialfees|sanpaidnonfinancialfees|sanpendingnonfinancialfees|sanirregularnonfinancialfees|sanmarketvaluepercent|sanmarketvalue|santotalfinancialfeestax|sanpaidfinancialfeestax|sanpendingfinancialfeestax|sanirregularfinancialfeestax|santotalnonfinancialfeestax|sanpaidnonfinancialfeestax|sanpendingnonfinancialfeestax|sanirregularnonfinancialfeestax|sannetmarketvalue|dealstatus|facilitystatus|utilizationstatus|cibproductcode|valuedate|assetflag|maturitydate|servicingproductid|servicingproductname|bookinglegalentity|bookingcountry|businessarea|latestdrawdowndate|recourse|committedflag|revolvingtype|dealversionid|facilityversionid|utilizationversionid|sanbalancedataversionid|sanfinancialdataversionid|deallastevent|facilitylastevent|utilizationlastevent|sanbalancedatalastevent|dealprocesstimestamp|facilityprocesstimestamp|utilizationprocesstimestamp|sanbalancedataprocesstimestamp|sanfinancialdataprocesstimestamp|sanfinancialdatalastevent|accproductid|accsubproductid|sanpaidinterestcurrentperiod|sanadvpayaccinterestcurrentperiod|sanpaidfinancialfeescurrentperiod|is_productive|sanadvpayaccfinancialfeescurrentperiod|sanadvpayaccnonfinancialfees|sanunsettledamount|capturedate|tradedate|servicingboteam|data_date_part|sourcesystemid|bookingoperationalentity|data_timestamp_part
Facility|451743.0|585709||148749.0||||PRE000301CLE22|ANGLO AMERICAN SUR S A|||0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|1000000000000.0|0.0|999990894500.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|28000.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||LIVE||PGCB020530|2025-04-08|1|2026-03-21|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC|2025-04-08|0.0|1.0|REVOLVING_CREDIT_FACILITY||11.0||11|3.0||ATTRIBUTE_CHANGE||ATTRIBUTE_CHANGE||2025-04-16 11:42:13.468||2025-04-16 11:42:13.468|2025-04-10 05:41:00.964|ATTRIBUTE_CHANGE|81.0|4073.0|0.0|0.0|0.0|1|0.0|0.0|0.0|2025-04-16|||2025-04-16|CONFIRMING|BSCH|20250416160036
Utilization|451739.0|585711||148749.0|416857.0|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000025810|CL-CK8-A-CLP-0000005978949|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.0|0.0|0.0|1995500.0|1995500.0|0.0|0.0|1.0|1133.0|1133.0|0.0|0.0|0.0|0.0|1133.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||LIVE|DEAD|PGCB020530|2025-04-08|1|2025-04-10|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0.0|1.0|REVOLVING_CREDIT_FACILITY||11.0|2.0|2|2.0||ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE||2025-04-16 11:42:13.468|2025-04-10 12:10:53.776|2025-04-10 12:10:53.776|2025-04-10 12:10:53.776|ATTRIBUTE_CHANGE|81.0|4073.0|1133.0|0.0|0.0|1|0.0|0.0|0.0|2025-04-10|||2025-04-16|CONFIRMING|BSCH|20250416160036
Utilization|451740.0|585712||148749.0|416858.0|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000025813|CL-CK8-A-CLP-0000005978952|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.0|0.0|0.0|3605500.0|3605500.0|0.0|0.0|1.0|1647.0|1647.0|0.0|0.0|0.0|0.0|1647.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||LIVE|DEAD|PGCB020530|2025-04-08|1|2025-04-10|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0.0|1.0|REVOLVING_CREDIT_FACILITY||11.0|2.0|2|2.0||ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE||2025-04-16 11:42:13.468|2025-04-10 12:10:54.576|2025-04-10 12:10:54.576|2025-04-10 12:10:54.576|ATTRIBUTE_CHANGE|81.0|4073.0|1647.0|0.0|0.0|1|0.0|0.0|0.0|2025-04-10|||2025-04-16|CONFIRMING|BSCH|20250416160036
Utilization|451741.0|585713||148749.0|416859.0|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000025812|CL-CK8-A-CLP-0000005978951|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.0|0.0|0.0|577500.0|577500.0|0.0|0.0|1.0|264.0|264.0|0.0|0.0|0.0|0.0|264.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||LIVE|DEAD|PGCB020530|2025-04-08|1|2025-04-10|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0.0|1.0|REVOLVING_CREDIT_FACILITY||11.0|2.0|2|2.0||ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE||2025-04-16 11:42:13.468|2025-04-10 12:10:54.796|2025-04-10 12:10:54.796|2025-04-10 12:10:54.796|ATTRIBUTE_CHANGE|81.0|4073.0|264.0|0.0|0.0|1|0.0|0.0|0.0|2025-04-10|||2025-04-16|CONFIRMING|BSCH|20250416160036
Utilization|451742.0|585714||148749.0|416860.0|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000025811|CL-CK8-A-CLP-0000005978950|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.0|0.0|0.0|611500.0|611500.0|0.0|0.0|1.0|347.0|347.0|0.0|0.0|0.0|0.0|347.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||LIVE|DEAD|PGCB020530|2025-04-08|1|2025-04-10|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0.0|1.0|REVOLVING_CREDIT_FACILITY||11.0|2.0|2|2.0||ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE||2025-04-16 11:42:13.468|2025-04-10 12:10:55.038|2025-04-10 12:10:55.038|2025-04-10 12:10:55.038|ATTRIBUTE_CHANGE|81.0|4073.0|347.0|0.0|0.0|1|0.0|0.0|0.0|2025-04-10|||2025-04-16|CONFIRMING|BSCH|20250416160036
Utilization|460932.0|597430||148749.0|423960.0|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000026151|CL-CK8-A-CLP-0000005979749|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.0|0.0|0.0|611500.0|611500.0|0.0|0.0|1.0|694.0|694.0|0.0|0.0|0.0|0.0|694.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||LIVE|DEAD|PGCB020530|2025-04-11|1|2025-04-15|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0.0|1.0|REVOLVING_CREDIT_FACILITY||11.0|2.0|2|4.0||ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE||2025-04-16 11:42:13.468|2025-04-15 11:41:16.875|2025-04-15 11:41:16.875|2025-04-15 11:41:16.875|ATTRIBUTE_CHANGE|81.0|4073.0|694.0|0.0|0.0|1|0.0|0.0|0.0|2025-04-15|||2025-04-16|CONFIRMING|BSCH|20250416160036
Utilization|460933.0|597431||148749.0|423961.0|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O5-TA000000000026155|CL-CK6-A-CLP-0000005979781|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.0|7105500.0|0.0|7105500.0|0.0|0.0|0.0|1.0|10086.0|0.0|10086.0|0.0|0.0|0.0|10086.0|10086.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||LIVE|LIVE|PGCB020530|2025-04-11|1|2025-04-16|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0.0|1.0|REVOLVING_CREDIT_FACILITY||11.0|1.0|1|4.0||ATTRIBUTE_CHANGE|CREATION|CREATION||2025-04-16 11:42:13.468|2025-04-11 10:41:08.455|2025-04-11 10:41:08.455|2025-04-15 14:00:20.704|CREATION|81.0|4073.0|0.0|0.0|0.0|1|0.0|0.0|0.0|2025-04-11|||2025-04-16|CONFIRMING|BSCH|20250416160036
Utilization|460934.0|597432||148749.0|423962.0|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000026150|CL-CK8-A-CLP-0000005979748|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.0|0.0|0.0|5795500.0|5795500.0|0.0|0.0|1.0|6581.0|6581.0|0.0|0.0|0.0|0.0|6581.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||LIVE|DEAD|PGCB020530|2025-04-11|1|2025-04-15|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0.0|1.0|REVOLVING_CREDIT_FACILITY||11.0|2.0|2|4.0||ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE||2025-04-16 11:42:13.468|2025-04-15 11:41:15.782|2025-04-15 11:41:15.782|2025-04-15 11:41:15.782|ATTRIBUTE_CHANGE|81.0|4073.0|6581.0|0.0|0.0|1|0.0|0.0|0.0|2025-04-15|||2025-04-16|CONFIRMING|BSCH|20250416160036
Utilization|460935.0|597433||148749.0|423963.0|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000026152|CL-CK8-A-CLP-0000005979750|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.0|0.0|0.0|577500.0|577500.0|0.0|0.0|1.0|527.0|527.0|0.0|0.0|0.0|0.0|527.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||LIVE|DEAD|PGCB020530|2025-04-11|1|2025-04-15|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0.0|1.0|REVOLVING_CREDIT_FACILITY||11.0|2.0|2|4.0||ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE||2025-04-16 11:42:13.468|2025-04-15 11:41:16.592|2025-04-15 11:41:16.592|2025-04-15 11:41:16.592|ATTRIBUTE_CHANGE|81.0|4073.0|527.0|0.0|0.0|1|0.0|0.0|0.0|2025-04-15|||2025-04-16|CONFIRMING|BSCH|20250416160036
Utilization|460936.0|597434||148749.0|423964.0|||PRE000301CLE22|ANGLO AMERICAN SUR S A|000301CL-C22O2-TA000000000026153|CL-CK8-A-CLP-0000005979751|0|0|0|0||CL_GTBWCC_HTC||CLP|CLP|0.0|0.0|0.0|4305500.0|4305500.0|0.0|0.0|1.0|3932.0|3932.0|0.0|0.0|0.0|0.0|3932.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||LIVE|DEAD|PGCB020530|2025-04-11|1|2025-04-15|APMF0001009554|GLOBAL_CONFIRMING|BSCHS|CL|ANGCBTWCSC||0.0|1.0|REVOLVING_CREDIT_FACILITY||11.0|2.0|2|4.0||ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE|ATTRIBUTE_CHANGE||2025-04-16 11:42:13.468|2025-04-15 11:41:16.309|2025-04-15 11:41:16.309|2025-04-15 11:41:16.309|ATTRIBUTE_CHANGE|81.0|4073.0|3932.0|0.0|0.0|1|0.0|0.0|0.0|2025-04-15|||2025-04-16|CONFIRMING|BSCH|20250416160036
